"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","1245","","com.login.user.LoginUserTest","","com.login.user.LoginUserTest","","avtorizationWrongUser",""
"passed","","","997","","com.order.OrderTest","","com.order.OrderTest","","createOrderWithoutIngredientHash",""
"passed","","","319","","com.user.UserTest","","com.user.UserTest","","createUserWithMissingFields",""
"passed","","","1102","","com.order.OrderTest","","com.order.OrderTest","","createOrderWithIncorrectIngredientHash",""
"passed","","","715","","com.order.OrderTest","","com.order.OrderTest","","createOrderWithoutAvtorization",""
"passed","","","1355","","com.order.OrderTest","","com.order.OrderTest","","createOrderWithAvtorization",""
"passed","","","240","","com.user.UserTest","","com.user.UserTest","","createExcitingUser",""
"failed","","","289","","com.user.UserTest","","com.user.UserTest","","createUser",""
"passed","","","1627","","com.login.user.DataOfUserTest","","com.login.user.DataOfUserTest","","avtorizationUser",""
"passed","","","278","","com.order.ListOdOrdersTest","","com.order.ListOdOrdersTest","","listOfOrdersOfNotAvtorizationUser",""
"broken","","","681","","com.login.user.LoginUserTest","","com.login.user.LoginUserTest","","avtorizationUser",""
"broken","","","584","","com.order.ListOdOrdersTest","","com.order.ListOdOrdersTest","","listOfOrdersOfAvtorizationUser",""
"passed","","","4993","","com.login.user.DataOfUserTest","","com.login.user.DataOfUserTest","","withoutAvtorizationUser",""
"passed","","","1020","","com.order.OrderTest","","com.order.OrderTest","","createOrderWithIngredients",""
