"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","17887","","loginUser.LoginUserTest","","loginUser.LoginUserTest","","avtorizationUser",""
"passed","","","884","","order.OrderTest","","order.OrderTest","","createOrderWithIngredients",""
"passed","","","9285","","order.OrderTest","","order.OrderTest","","createOrderWithoutIngredientHash",""
"passed","","","1146","","order.ListOdOrdersTest","","order.ListOdOrdersTest","","listOfOrdersOfAvtorizationUser",""
"failed","","","292","","user.UserTest","","user.UserTest","","createUser",""
"passed","","","1379","","order.OrderTest","","order.OrderTest","","createOrderWithIncorrectIngredientHash",""
"passed","","","5019","","loginUser.DataOfUserTest","","loginUser.DataOfUserTest","","withoutAvtorizationUser",""
"passed","","","291","","user.UserTest","","user.UserTest","","createUserWithMissingFields",""
"passed","","","1409","","order.OrderTest","","order.OrderTest","","createOrderWithAvtorization",""
"passed","","","1696","","loginUser.DataOfUserTest","","loginUser.DataOfUserTest","","avtorizationUser",""
"passed","","","573","","loginUser.LoginUserTest","","loginUser.LoginUserTest","","avtorizationWrongUser",""
"passed","","","575","","order.OrderTest","","order.OrderTest","","createOrderWithoutAvtorization",""
"failed","","","383","","user.UserTest","","user.UserTest","","createExcitingUser",""
"passed","","","292","","order.ListOdOrdersTest","","order.ListOdOrdersTest","","listOfOrdersOfNotAvtorizationUser",""
